"SQGDP8 Chain-type quantity indexes for real GDP by state (2012=100.0)"
"Chain-type quantity indexes for real GDP by state: Private industries (Quantity index)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2","2021:Q3","2021:Q4"
"34000","New Jersey",95.937,96.700,97.567,97.594,98.429,99.482,98.961,99.380,98.062,99.502,99.893,101.857,103.808,103.963,103.087,99.670,97.140,95.882,96.539,97.207,98.160,98.160,99.037,98.408,96.827,97.426,97.270,99.142,100.216,100.072,100.579,99.134,101.888,100.998,100.962,101.314,100.390,100.987,101.284,101.408,102.312,103.140,103.264,103.227,104.437,104.283,104.366,104.290,103.931,104.449,105.168,105.009,106.529,107.125,107.762,108.472,108.783,109.887,110.680,110.829,110.098,96.503,105.920,106.962,108.831,109.829,110.778,112.935
"35000","New Mexico",94.721,94.790,92.885,93.448,96.149,96.880,98.169,98.510,98.442,99.265,99.569,98.606,97.164,97.561,98.384,102.821,102.234,100.223,100.118,99.477,98.789,98.421,99.287,102.240,97.834,99.534,99.689,101.443,100.635,101.685,99.780,97.900,98.517,98.310,98.542,100.028,99.449,101.272,103.411,105.859,105.096,103.769,103.968,102.933,103.530,102.479,101.776,102.493,101.773,102.450,103.074,103.199,104.577,105.797,105.774,106.962,108.484,110.272,112.798,113.798,113.413,100.640,107.839,108.718,110.143,110.842,110.639,113.493
"36000","New York",85.276,86.165,86.996,87.991,89.939,89.023,88.597,89.675,92.719,89.398,89.092,88.409,89.445,88.385,88.686,86.376,87.582,91.741,93.001,94.160,95.277,96.936,95.326,94.252,96.428,95.195,95.090,96.339,98.034,99.711,100.594,101.662,98.656,99.469,100.068,101.307,100.769,101.511,102.594,103.526,103.349,104.572,104.647,103.277,106.477,107.026,106.121,106.353,107.595,106.699,107.172,109.184,109.358,110.575,110.896,109.846,112.169,113.643,113.468,113.781,111.999,100.643,108.064,109.163,111.097,113.108,113.713,115.248
"37000","North Carolina",90.972,91.089,92.019,92.984,97.533,98.045,97.795,98.471,99.225,98.416,98.044,99.020,101.661,102.415,101.427,98.776,93.800,95.171,96.911,98.593,96.421,97.085,97.559,99.206,98.585,99.865,98.710,99.113,100.769,99.701,100.170,99.360,100.755,101.191,102.868,103.545,104.326,104.337,105.351,105.702,107.326,108.327,108.532,108.142,109.706,109.541,110.169,111.663,112.747,113.067,113.514,114.649,114.481,115.695,115.100,115.684,116.674,117.643,118.309,118.757,117.065,105.996,115.529,117.075,120.730,122.304,122.860,125.392
"38000","North Dakota",52.567,52.900,52.797,53.023,54.352,55.666,55.370,56.008,57.135,57.911,58.779,60.503,62.860,63.613,64.841,64.535,65.091,64.273,65.740,65.638,66.895,69.621,71.161,73.288,74.054,76.933,80.320,87.380,93.654,100.256,102.668,103.422,99.881,101.536,104.400,105.549,107.835,112.418,114.526,116.903,113.731,109.067,108.077,107.562,103.934,100.645,101.227,100.923,101.988,104.956,104.482,104.350,106.944,108.097,108.389,107.220,106.769,107.719,108.789,109.580,110.213,100.691,104.140,103.830,106.245,107.888,107.040,106.479
"39000","Ohio",98.805,99.413,100.433,100.398,99.915,100.075,99.723,99.631,99.889,100.100,100.307,100.298,99.879,100.203,98.333,93.858,93.681,92.344,92.488,93.102,93.448,94.689,96.158,96.915,97.511,98.445,99.203,101.121,99.844,100.382,100.283,99.492,101.545,101.411,102.694,103.970,103.973,105.862,107.591,107.700,106.995,107.380,107.000,107.933,107.199,108.151,108.606,108.864,109.186,109.461,109.600,109.758,110.274,111.113,111.624,112.124,112.785,113.459,114.330,114.416,112.827,101.316,111.301,112.512,113.490,114.336,114.483,116.234
"40000","Oklahoma",80.117,80.975,80.750,79.276,89.913,85.764,84.533,84.288,85.840,87.470,89.221,89.255,88.991,90.936,91.393,94.991,91.791,89.623,89.970,87.895,87.497,89.898,90.763,91.079,89.665,92.570,95.100,97.791,99.338,100.451,99.793,100.418,101.507,100.847,101.379,104.124,104.811,107.679,112.675,114.573,115.303,113.054,115.720,116.028,113.577,112.434,111.737,111.131,111.901,113.513,112.876,113.045,114.071,114.513,114.412,116.218,116.000,115.790,117.548,117.785,114.309,103.191,110.241,110.353,110.700,111.703,111.860,114.407
"41000","Oregon",88.689,89.109,90.086,90.786,93.904,93.674,94.663,95.569,94.050,95.380,97.306,98.857,99.174,100.385,100.260,96.765,95.105,93.280,93.253,93.349,96.004,95.486,96.447,96.908,98.527,98.467,98.414,100.235,100.639,100.600,100.348,98.414,100.096,100.412,101.583,102.623,102.032,104.043,105.621,106.285,108.446,109.196,111.100,111.383,114.019,114.884,115.168,116.519,117.319,118.935,120.377,122.308,123.974,125.061,126.566,127.073,127.065,127.392,128.661,129.798,128.325,116.258,125.181,126.453,128.488,129.930,130.644,133.926
"42000","Pennsylvania",89.330,89.990,90.732,91.174,89.799,90.437,91.135,91.566,92.232,93.042,94.780,96.350,96.227,97.753,96.592,94.134,92.310,92.096,92.571,94.670,94.167,95.524,96.890,97.318,96.345,97.464,98.029,99.627,99.785,100.305,100.452,99.458,100.551,101.031,101.481,102.230,101.927,103.443,104.796,105.324,106.054,106.174,106.086,106.283,106.797,106.754,107.359,107.459,107.269,107.778,108.770,108.967,109.203,109.702,110.101,110.541,110.866,111.781,112.494,112.786,111.245,98.557,107.736,109.018,110.106,111.539,112.127,114.077
"44000","Rhode Island",96.235,97.865,97.964,99.514,99.273,101.765,103.261,100.915,100.314,98.081,97.748,96.657,97.240,96.767,95.999,95.979,94.377,95.759,96.998,97.719,97.962,98.741,100.070,99.758,97.203,99.886,99.017,99.870,99.975,100.384,100.144,99.497,101.337,100.379,101.139,101.743,101.795,101.882,101.984,103.511,103.191,103.906,103.052,104.215,102.494,103.669,105.236,103.553,101.961,102.158,103.475,102.393,101.985,102.718,101.945,102.825,103.751,104.149,103.331,104.071,102.684,92.429,101.743,103.092,101.935,106.517,107.156,108.535
