CyprusG4,,1
CyprusH1B,,1
CyprusJ1,,1
CyprusJ2,,1
CyprusL1,,1
CyprusM1,,1
Czech RepublicA2,,11
Czech RepublicB1,,31
Czech RepublicB1/B2,,4
Czech RepublicC1/D,,8
Czech RepublicE2,,6
Czech RepublicF1,,3
Czech RepublicF2,,2
Czech RepublicG1,,1
Czech RepublicG4,,2
Czech RepublicH1B,,1
Czech RepublicH2B,,1
Czech RepublicI,,2
Czech RepublicJ1,,21
Czech RepublicJ2,,10
Czech RepublicL1,,8
Czech RepublicL2,,4
Czech RepublicM1,,2
Czech RepublicNATO2,,7
Czech RepublicP1,,1
DenmarkA2,,6
DenmarkB1,,3
DenmarkB1/B2,,1
DenmarkC1/D,,18
DenmarkE1,,5
DenmarkE2,,6
DenmarkE3D,,1
DenmarkF1,,2
DenmarkG1,,2
DenmarkG3,,1
DenmarkG4,,11
DenmarkH1B,,3
Page 14 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
DenmarkH2A,,1
DenmarkI,,3
DenmarkJ1,,11
DenmarkJ2,,2
DenmarkL1,,11
DenmarkL2,,3
DenmarkNATO2,,25
DenmarkO1,,5
DenmarkO3,,3
DenmarkP1,,4
DjiboutiA2,,1
DjiboutiB1,,1
DominicaB1/B2,,21
Dominican RepublicA1,,21
Dominican RepublicA2,,14
Dominican RepublicB1,,3
Dominican RepublicB1/B2,,"4,930"
Dominican RepublicC1,,5
Dominican RepublicC1/D,,14
Dominican RepublicC3,,2
Dominican RepublicF1,,40
Dominican RepublicF2,,4
Dominican RepublicG4,,3
Dominican RepublicH1B,,1
Dominican RepublicH4,,3
Dominican RepublicI,,6
Dominican RepublicJ1,,2
Dominican RepublicK1,,77
Dominican RepublicK2,,28
Dominican RepublicM1,,1
Dominican RepublicO1,,1
Dominican RepublicP1,,279
Dominican RepublicP4,,32
EcuadorA1,,5
EcuadorA2,,24
EcuadorB1,,1
EcuadorB1/B2,,"7,464"
EcuadorC1,,2
EcuadorC1/D,,7
EcuadorF1,,40
EcuadorG4,,8
EcuadorH1B,,7
Page 15 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
EcuadorH4,,3
EcuadorJ1,,228
EcuadorK1,,7
EcuadorL1,,2
EcuadorL2,,4
EcuadorM1,,1
EcuadorO1,,2
EcuadorP1,,1
EcuadorR1,,2
EcuadorR2,,1
EgyptA1,,5
EgyptA2,,92
EgyptA3,,1
EgyptB1,,1
EgyptB1/B2,,551
EgyptB2,,1
EgyptC1/D,,43
EgyptE2,,2
EgyptF1,,37
EgyptF2,,11
EgyptG1,,2
EgyptG4,,3
EgyptH1B,,7
EgyptH2A,,20
EgyptH4,,9
EgyptJ1,,19
EgyptJ2,,14
EgyptK1,,3
EgyptL1,,3
EgyptL2,,3
EgyptM1,,1
EgyptO1,,3
EgyptP1,,1
EgyptR1,,2
EgyptR2,,7
El SalvadorA1,,1
El SalvadorA2,,48
El SalvadorB1,,2
El SalvadorB1/B2,,963
El SalvadorC1,,2
El SalvadorC1/D,,8
El SalvadorF1,,13
Page 16 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
El SalvadorG4,,2
El SalvadorG5,,1
El SalvadorH1B,,1
El SalvadorH2A,,62
El SalvadorH2B,,14
El SalvadorJ1,,15
El SalvadorK1,,15
El SalvadorK2,,6
El SalvadorM1,,1
El SalvadorP1,,4
El SalvadorR1,,2
El SalvadorR2,,1
El SalvadorU3,,15
El SalvadorU5,,1
Equatorial GuineaA1,,2
Equatorial GuineaB1/B2,,2
Equatorial GuineaF1,,1
Equatorial GuineaG1,,5
Equatorial GuineaK1,,1
EritreaB1/B2,,6
EritreaF1,,2
EritreaG4,,2
EritreaK1,,5
EstoniaA1,,1
EstoniaA2,,2
EstoniaB1/B2,,7
EstoniaC1/D,,10
EstoniaE1,,1
EstoniaF1,,1
EstoniaG4,,1
EstoniaJ1,,1
EstoniaO1,,1
EstoniaP1,,1
EswatiniF1,,1
EthiopiaA1,,24
EthiopiaA2,,7
EthiopiaB1,,4
EthiopiaB1/B2,,924
EthiopiaC1,,1
EthiopiaC1/D,,65
EthiopiaD,,7
EthiopiaF1,,40
Page 17 of 57,,
February 2021 (FY 2021),,
NationalityVisa Class,,Issuances
EthiopiaG1,,6
EthiopiaG4,,15
EthiopiaH1B,,4
EthiopiaH4,,1
EthiopiaJ1,,4
EthiopiaK1,,24
EthiopiaK2,,2
EthiopiaP1,,1
FijiB1/B2,,6
FijiC1,,6
FijiC1/D,,17
