"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",100.4,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",102.9583,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",104.775,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",111.8333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",104.1333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",105.2083,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",100.95,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",101.825,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",103.3,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",100.2583,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",98.39167,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",98.63333,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",94.41666,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",97.94167,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",94.65833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",92.75,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",94.80833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.45834,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",99.61667,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",98.45834,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",96.65833,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",95.575,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",97.21667,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",100.2417,,
"PITGVG01","Type of goods - Total Producer prices - Investment goods","CZE","Czech Republic","IXOB","Index","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",101.0917,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",51.63471,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",56.31916,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",55.31163,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",54.8351,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",50.43416,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",57.66707,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",60.93874,,
"PITGVG02","Type of goods - Domestic Producer prices - Investment goods","DNK","Denmark","IXOB","Index","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",65.03454,,
