"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2013","2013","PER","Persons","3","Thousands",,,10510.719,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2014","2014","PER","Persons","3","Thousands",,,10524.783,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2015","2015","PER","Persons","3","Thousands",,,10542.942,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2016","2016","PER","Persons","3","Thousands",,,10565.284,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2017","2017","PER","Persons","3","Thousands",,,10589.526,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2018","2018","PER","Persons","3","Thousands",,,10626.43,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2019","2019","PER","Persons","3","Thousands",,,10669.324,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2020","2020","PER","Persons","3","Thousands",,,10700.155,,
"CZE","Czech Republic","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2021","2021","PER","Persons","3","Thousands",,,10697.314,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1990","1990","PER","Persons","3","Thousands",,,5140,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1991","1991","PER","Persons","3","Thousands",,,5154,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1992","1992","PER","Persons","3","Thousands",,,5171,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1993","1993","PER","Persons","3","Thousands",,,5189,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1994","1994","PER","Persons","3","Thousands",,,5206,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1995","1995","PER","Persons","3","Thousands",,,5230,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1996","1996","PER","Persons","3","Thousands",,,5262,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1997","1997","PER","Persons","3","Thousands",,,5285,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1998","1998","PER","Persons","3","Thousands",,,5303,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1999","1999","PER","Persons","3","Thousands",,,5321,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2000","2000","PER","Persons","3","Thousands",,,5338,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2001","2001","PER","Persons","3","Thousands",,,5357,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2002","2002","PER","Persons","3","Thousands",,,5376,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2003","2003","PER","Persons","3","Thousands",,,5390,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2004","2004","PER","Persons","3","Thousands",,,5403,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2005","2005","PER","Persons","3","Thousands",,,5419,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2006","2006","PER","Persons","3","Thousands",,,5437,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2007","2007","PER","Persons","3","Thousands",,,5460,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2008","2008","PER","Persons","3","Thousands",,,5493,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2009","2009","PER","Persons","3","Thousands",,,5523,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2010","2010","PER","Persons","3","Thousands",,,5547,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2011","2011","PER","Persons","3","Thousands",,,5570,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2012","2012","PER","Persons","3","Thousands",,,5591,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2013","2013","PER","Persons","3","Thousands",,,5613,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2014","2014","PER","Persons","3","Thousands",,,5643,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2015","2015","PER","Persons","3","Thousands",,,5682,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2016","2016","PER","Persons","3","Thousands",,,5729,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2017","2017","PER","Persons","3","Thousands",,,5765,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2018","2018","PER","Persons","3","Thousands",,,5794,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2019","2019","PER","Persons","3","Thousands",,,5817,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2020","2020","PER","Persons","3","Thousands",,,5830,,
"DNK","Denmark","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","2021","2021","PER","Persons","3","Thousands",,,5854,,
"FIN","Finland","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1990","1990","PER","Persons","3","Thousands",,,4986.4,,
"FIN","Finland","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1991","1991","PER","Persons","3","Thousands",,,5013.7,,
"FIN","Finland","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1992","1992","PER","Persons","3","Thousands",,,5042,,
"FIN","Finland","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1993","1993","PER","Persons","3","Thousands",,,5066.4,,
"FIN","Finland","POPNC","Total population, national concept","VTOT","Total activity","PER","Persons","1994","1994","PER","Persons","3","Thousands",,,5088.3,,
