state,date,PUAPEUC,,,,,
VA,2020-06-27,12140,,,,,
WA,2020-06-27,8963,,,,,
WV,2020-06-27,0,,,,,
WI,2020-06-27,3556,,,,,
WY,2020-06-27,187,,,,,
AL,2020-07-04,2464,,,,,
AK,2020-07-04,1120,,,,,
AZ,2020-07-04,0,,,,,
AR,2020-07-04,9938,,,,,
CA,2020-07-04,100588,,,,,
CO,2020-07-04,4595,,,,,
CT,2020-07-04,1569,,,,,
DE,2020-07-04,503,,,,,
DC,2020-07-04,609,,,,,
FL,2020-07-04,11166,,,,,
GA,2020-07-04,23438,,,,,
HI,2020-07-04,4586,,,,,
ID,2020-07-04,466,,,,,
IL,2020-07-04,42785,,,,,
IN,2020-07-04,0,,,,,
IA,2020-07-04,1296,,,,,
KS,2020-07-04,5111,,,,,
KY,2020-07-04,2950,,,,,
LA,2020-07-04,9070,,,,,
ME,2020-07-04,2274,,,,,
MD,2020-07-04,32931,,,,,
MA,2020-07-04,12969,,,,,
MI,2020-07-04,29443,,,,,
MN,2020-07-04,584,,,,,
MS,2020-07-04,4849,,,,,
MO,2020-07-04,4159,,,,,
MT,2020-07-04,2696,,,,,
NE,2020-07-04,1529,,,,,
NV,2020-07-04,62810,,,,,
NH,2020-07-04,0,,,,,
NJ,2020-07-04,11338,,,,,
NM,2020-07-04,2685,,,,,
NY,2020-07-04,54723,,,,,
NC,2020-07-04,23606,,,,,
ND,2020-07-04,671,,,,,
OH,2020-07-04,48532,,,,,
OK,2020-07-04,1607,,,,,
OR,2020-07-04,4666,,,,,
PA,2020-07-04,205645,,,,,
PR,2020-07-04,39490,,,,,
RI,2020-07-04,6197,,,,,
SC,2020-07-04,11022,,,,,
SD,2020-07-04,108,,,,,
TN,2020-07-04,11143,,,,,
TX,2020-07-04,34662,,,,,
UT,2020-07-04,1506,,,,,
VT,2020-07-04,416,,,,,
VI,2020-07-04,0,,,,,
VA,2020-07-04,13820,,,,,
WA,2020-07-04,10178,,,,,
WV,2020-07-04,0,,,,,
WI,2020-07-04,2954,,,,,
WY,2020-07-04,337,,,,,
AL,2020-07-11,6387,,,,,
AK,2020-07-11,873,,,,,
AZ,2020-07-11,0,,,,,
AR,2020-07-11,11231,,,,,
CA,2020-07-11,126780,,,,,
CO,2020-07-11,4744,,,,,
CT,2020-07-11,2882,,,,,
DE,2020-07-11,442,,,,,
DC,2020-07-11,755,,,,,
FL,2020-07-11,10519,,,,,
GA,2020-07-11,31812,,,,,
HI,2020-07-11,3952,,,,,
ID,2020-07-11,892,,,,,
IL,2020-07-11,57157,,,,,
IN,2020-07-11,41088,,,,,
IA,2020-07-11,1522,,,,,
KS,2020-07-11,4528,,,,,
KY,2020-07-11,2586,,,,,
LA,2020-07-11,9506,,,,,
ME,2020-07-11,3357,,,,,
MD,2020-07-11,17594,,,,,
MA,2020-07-11,12832,,,,,
MI,2020-07-11,26558,,,,,
MN,2020-07-11,649,,,,,
MS,2020-07-11,0,,,,,
