time,ym,indmc,uib,numD,numDfull,numDpart,numE,numEfull,numEpart,matched,matchedfull,matchedpart,EXIT,EXITfull,EXITpart,hour,wage_tot,prod,E9,hourfull,hourpart,wage_totfull,wage_totpart,hire,hirefull,hirepart,left,leftfull,leftpart
2015. 03,662,30,5660,348646,342900,5620,3711,3711,0,8668,7123,1545,6914,5833,1081,199.9,3658316,97.4,17916,200.4,173.1,3687975,2079559,8092,6548,1543,5352,4934,418
2015. 04,663,30,5673,350147,344158,5858,2846,2846,0,9654,7558,2095,8158,7142,1016,202,4320462,101.4,17703,202.5,177.5,4352496,2796341,9026,6933,2094,6157,5753,404
2015. 05,664,30,5452,350251,344504,5611,2876,2802,74,8098,5849,2249,7998,6331,1668,178,3530597,97.9,17819,178.3,163.2,3561937,1941010,7759,5510,2249,5443,4749,694
2015. 06,665,30,5686,351274,345618,5559,2743,2743,0,7365,5634,1732,6304,5222,1082,203.7,4110245,102.3,18027,204.1,179.6,4137551,2675936,7127,5395,1732,4542,3975,568
2015. 07,666,30,5920,353465,347638,5721,2339,2332,7,9062,7168,1894,6879,5923,956,204.9,4355660,101.1,18095,205.6,165.3,4391800,2274281,8920,7026,1894,5595,5160,435
2015. 08,667,30,5817,354362,348428,5845,1951,1951,0,6662,4766,1896,5749,4829,920,166.4,4386037,103.5,17883,166.8,146.2,4414924,2861987,6395,4500,1896,4417,4156,261
2015. 09,668,30,5813,355497,349893,5516,2178,2178,0,7138,5789,1349,6003,5095,908,179.2,4291368,101.1,18029,179.4,169,4324549,2697349,6745,5397,1348,4630,4134,496
2015. 10,669,30,5242,357956,351624,6240,2660,2625,35,9610,7587,2023,7155,6371,783,194.7,4300311,99.4,18141,195.1,178,4335235,2819836,8647,6624,2023,6132,5962,170
2015. 11,670,30,4887,357681,352261,5349,2601,2597,4,7031,5725,1305,7285,5785,1500,191.1,3342926,98.1,18183,191.3,180.5,3372371,1866244,6798,5493,1305,5522,5215,307
2015. 12,671,30,4816,359624,353251,6287,2976,2809,167,7877,5291,2586,5949,5083,866,198.5,7617548,99,18140,199.5,159,7741649,2825414,7505,5066,2439,4891,4664,227
2016. 01,672,30,5757,361042,353477,7522,2102,2102,0,9690,7850,1840,8229,7115,1114,182.2,4922817,98.3,17864,183,152.4,4980750,2802218,8160,6425,1736,4884,4734,150
2016. 02,673,30,6479,360411,354049,6319,2888,2769,119,6791,6167,624,7422,5569,1853,161.4,5032955,98.9,17467,161.9,139.7,5085019,2876538,6199,5578,621,4755,4187,568
2016. 03,674,30,6720,359613,353159,6412,3499,3461,39,7785,5742,2043,8583,6460,2123,199.7,3559588,101.9,17120,200.9,153.7,3613115,1581372,7040,5020,2020,5838,5682,155
2016. 04,675,30,6586,359159,352859,6257,3969,3942,27,7746,5473,2273,8200,5600,2600,186,4348425,97.1,17117,187.3,138.1,4408588,2025839,7411,5145,2266,5017,4257,760
2016. 05,676,30,6486,359009,352560,6406,3035,3035,0,8685,6216,2469,8835,6192,2643,185.2,3487552,101,17124,186.8,130.7,3549320,1376396,8496,6038,2458,5881,5699,183
2016. 06,677,30,6381,357424,351038,6344,3512,3281,231,5817,5169,648,7401,6381,1020,194.4,4206595,99,17094,195.8,139.1,4262452,2007450,5574,4934,640,5761,5280,481
2016. 07,678,30,6244,357006,351109,5867,2749,2519,230,7072,5703,1370,7479,5268,2210,189,4405591,98.7,17079,190,146,4469245,1796336,6739,5372,1368,4272,4163,109
2016. 08,679,30,6301,356802,351299,5468,2629,2565,64,6613,6009,603,6821,5653,1168,167.2,4190484,84,17208,167.8,141.1,4231595,2243801,6395,5795,600,5191,4988,204
2016. 09,680,30,5947,357825,352164,5626,3099,3034,65,7546,6704,842,6524,5546,978,165.7,4458842,87,17371,166.2,141.8,4506827,2185024,7406,6565,841,4785,4677,108
2016. 10,681,30,4675,357168,351261,5875,3225,3159,66,6629,5647,982,7283,5692,1591,184.5,5337493,90.6,17513,185.1,156.2,5390873,2595830,6286,5305,981,5139,4972,168
2016. 11,682,30,4488,357516,352677,4808,3007,2826,181,6702,5914,788,6353,5146,1207,201.3,4453132,100.8,17719,201.9,171.1,4498408,2228463,6576,5789,787,4684,4615,69
2016. 12,683,30,4232,357845,352841,4971,2821,2717,103,6782,5534,1248,6454,5083,1372,201.5,6802653,102.2,17777,202.3,164.8,6879580,3122761,6322,5078,1245,4706,4568,138
2017. 01,684,30,4866,357775,351686,6016,2067,2067,0,7278,5958,1319,7388,5809,1579,174.3,4632962,101.1,17256,174.5,166,4683657,2570441,6818,5499,1319,3467,3249,218
2017. 02,685,30,5686,356623,349815,6733,3135,2796,339,6395,4366,2030,7549,5356,2193,179.2,4201699,96.7,16738,179.6,163.4,4243178,2609423,6017,3993,2024,4479,4339,140
2017. 03,686,30,5786,354406,347697,6633,3728,3609,119,6324,5317,1007,8542,6995,1547,199.2,3776935,100.8,16472,199.3,198.3,3810198,2269416,5867,4861,1006,5751,5548,203
2017. 04,687,30,5703,354836,348114,6602,2653,2651,2,6506,5435,1070,6120,4906,1214,184.3,4448894,99.5,16517,184.5,177.4,4477318,3144690,6310,5240,1070,3796,3598,198
2017. 05,688,30,5638,354536,347109,7308,2565,2498,68,6553,4985,1568,6852,5564,1287,176.7,3606680,98.3,16598,176.9,164.9,3641297,2125248,6383,4816,1567,4930,4667,262
2017. 06,689,30,5569,353375,345968,7287,2737,2719,18,5646,4412,1234,6808,5290,1517,187.1,4407209,97.4,16701,187.2,183.4,4436678,3054843,5364,4130,1234,4718,4180,538
2017. 07,690,30,5298,350296,343312,6865,2865,2857,9,4836,3675,1161,7915,5985,1930,184.5,4484337,98.5,16819,184.6,178.1,4523663,2578557,4520,3386,1134,4742,4516,226
2017. 08,691,30,5391,350292,343750,6486,2303,2302,1,6239,5274,965,6179,4325,1854,169.2,4332880,95.2,16752,169.4,162.6,4370086,2725906,6057,5093,964,3788,3406,383
2017. 09,692,30,5655,350735,344249,6429,2609,2604,5,6091,5026,1065,5649,4333,1316,186.8,4783591,94.1,16767,186.6,198.5,4821012,3123922,5793,4729,1063,3554,3275,279
2017. 10,693,30,4120,352152,346021,6076,2817,2748,69,6982,5606,1376,5564,3548,2016,153.8,4396905,94.9,16809,153.7,155.4,4434794,2741533,6382,5012,1371,3373,3044,329
2017. 11,694,30,4408,352205,346005,6145,2271,2202,68,6411,5363,1048,6359,5122,1237,193.4,3539307,94.3,16740,193.7,181.8,3566936,2274020,5448,4613,834,3646,3173,473
2017. 12,695,30,4171,352212,345512,6644,2380,2311,70,4343,3328,1015,4336,3585,751,173.5,5584841,78.2,16806,173.7,162.4,5639581,2958641,3632,2621,1011,2788,2734,54
2018. 01,696,30,5444,358344,350799,7241,2555,2534,21,8007,6932,1075,9860,8972,888,186.7,6495899,87.6,16585,186.8,180.3,6536139,4425027,7237,6299,938,5364,5267,96
2018. 02,697,30,6409,357087,349993,6785,2779,2767,12,7023,6453,570,8285,7465,820,154.2,5432036,93,16179,154.3,146.9,5458488,3994298,5050,4748,302,5005,4878,127
2018. 03,698,30,6924,355906,349527,6069,3272,2950,322,7595,6706,889,8777,7193,1584,187.3,3889719,89.3,15953,187.5,173.4,3913958,2412136,7222,6341,881,5903,5715,189
2018. 04,699,30,7883,353731,347173,6252,3615,3472,143,7829,6719,1111,10000,9030,970,182.8,4507563,95,15702,183.2,159.9,4530253,3214406,7491,6398,1093,6689,6316,373
2018. 05,700,30,9298,352572,345753,6513,3529,3469,60,8243,7231,1012,9403,8551,852,179.5,3881078,99,15687,179.9,153.8,3910004,2246592,8036,7031,1005,5192,5026,166
2018. 06,701,30,10166,351773,345604,5862,3091,3026,65,7921,7450,470,8721,7440,1281,173.7,4577846,94.2,15527,174.1,152.6,4599726,3254682,7389,6931,458,5340,5261,79
2018. 07,702,30,10436,352853,346462,6093,4021,3899,123,8175,7110,1065,7086,6239,847,176.4,5349976,86.9,15509,176.9,150.7,5358842,4847187,7988,6925,1063,5470,5391,78
